query,containment,similarity,bp,contigs,ksize,num_query_kmers,best_containment,cdbg_min_overhead,catlas_min_overhead,catlas_name
/home/ctbrown/2020-rerun-hu/podar-ref/0.fa,1.0,0.8094775684598952,8777933,131616,31,4094769,0.999989010369083,2.2467431992060207e-05,0.15213503475445356,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/1.fa,0.9993234100135318,0.7322756569162122,4204884,76654,31,1475892,0.9998766847438701,0.00011654048223367451,0.2254564196877703,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/10.fa,1.0,0.8043284909576045,5249035,69400,31,2689587,0.9991675301821432,0.0004946668957755447,0.15146248778431562,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/11.fa,1.0,0.8088888888888889,5962685,82133,31,2971140,0.999766756194592,0.00018680566354381452,0.15098429557306367,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/12.fa,1.0,0.7954022988505747,4143889,60400,31,1952026,0.9998427275046542,0.00014446713910494922,0.16303091613708887,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/13.fa,1.0,0.8228376327769348,4146843,55702,31,2133928,0.9997680334106868,0.00024461621730542584,0.13827948572229473,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/14.fa,1.0,0.8457544799866019,10159759,144927,31,5149535,0.9999040690081726,9.554264435241022e-05,0.11405950052211401,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/15.fa,0.99972647702407,0.8725232752446884,6500685,82212,31,3652980,0.9998926903514391,5.9132655351888577e-05,0.09462227262305342,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/16.fa,0.9858592068859514,0.8502120890774125,6566835,99468,31,3232164,0.9897910502066108,0.0021107733346974705,0.10707506290479919,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/17.fa,0.7855145413870246,0.5763233483791547,7257346,112267,31,3619773,0.785108347954416,0.14183390390121067,0.26930612320457786,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/18.fa,1.0,0.8597475455820477,3108913,35795,31,1840310,0.9999429443952378,7.28126720131454e-05,0.09575035269178399,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/19.fa,0.6156693399136336,0.4850546780072904,4128019,46422,31,3284472,0.614639430629946,0.18153003107221857,0.26197402242265094,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/2.fa,1.0,0.8690476190476191,4869655,64402,31,2632727,0.999953660216194,8.318064557296652e-05,0.10382302529790526,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/20.fa,0.12598791259879125,0.08067877344447752,2243739,28903,31,2119286,0.13086341343263722,0.7316975484510092,0.7985419667613168,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/21.fa,1.0,0.7735628342245989,10630847,168231,31,4631271,0.9998777873287916,0.00011681521560288528,0.17070669209445627,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/22.fa,0.9992059290629963,0.7848232848232848,8218144,124671,31,3772855,0.9994956074378687,0.00043842373150018845,0.15789633529506608,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/23.fa,0.9959493670886076,0.8250838926174496,9050135,150640,31,3911114,0.9961494346623494,0.0006845831314509905,0.14012140981938606,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/24.fa,0.9996972449288526,0.8601198228705392,13398309,199024,31,6673183,0.9997489953445006,7.628877444406991e-05,0.10179359681856387,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/25.fa,0.9993738259236068,0.8159509202453987,3038160,41823,31,1542472,0.9989276952839339,0.0009511860648323754,0.13605611532574138,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/26.fa,1.0,0.8508946322067594,2623276,39098,31,1293284,0.9998832429690617,0.00010361356162339254,0.10839074531694724,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/27.fa,0.9910565723793677,0.8114782016348774,10712600,170501,31,4861312,0.9915253330788067,0.0017971368408496368,0.138891697647372,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/28.fa,1.0,0.8235294117647058,3547059,51417,31,1722912,0.9977369708957857,0.0017815654432050524,0.14244401109676041,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/29.fa,1.0,0.684984520123839,4023498,55171,31,1760125,1.0,1.7043953515457444e-05,0.25681946386710175,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/3.fa,0.998133457769482,0.7601279317697228,4953318,77749,31,2159121,0.9985762724738447,0.0012858858739229664,0.17734756078948494,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/30.fa,1.0,0.68125,3734981,50777,31,1646159,0.9995875246558807,0.0002472830759341316,0.25600145772133376,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/31.fa,0.998165137614679,0.8003923491907798,3464096,50212,31,1691451,0.9991563456464302,0.0007455869353775384,0.1367457103511403,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/32.fa,0.9998156002212797,0.8777723814149263,10685278,156878,31,5449689,0.9997465910440027,0.00010699424892147779,0.08874987497779706,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/33.fa,1.0,0.5407779171894604,2035967,42081,31,490425,0.9958138349390835,0.0008694816048380003,0.36865075620170723,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/34.fa,0.9945295404814004,0.7718652703085197,6363861,101921,31,2701168,0.9947570828619323,0.00020539091621464542,0.18729030125239282,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/35.fa,0.9990404386566141,0.8488236664337293,14612724,219639,31,7087828,0.9992872287532937,0.0006694865524913435,0.11725203070858624,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/36.fa,0.9993254637436763,0.8194137168141593,5710637,76935,31,2938952,0.9994960788743743,0.0003457561663536371,0.13669481485704849,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/37.fa,0.9995267392333176,0.8374306106264869,4473997,65562,31,2194768,0.9997042967639405,0.0002342077240249281,0.12485077600466189,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/38.fa,0.9986660738105825,0.7869656622284513,4783905,71789,31,2200814,0.9973627939480574,0.0022890430472817386,0.16547000553182512,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/39.fa,0.9990796134376438,0.8131086142322097,4235648,59155,31,2113896,0.9997890151644168,0.00015942949786331356,0.14122238213927846,podarV_k31_r1
/home/ctbrown/2020-rerun-hu/podar-ref/4.fa,0.9992017879948915,0.8602253985706432,11955478,169718,31,6174489,0.9993719318311199,0.0005188040974347461,0.1010100907088613,podarV_k31_r1
